2017-09-19 09:33:59.980 [main] WARN  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sheetController': Unsatisfied dependency expressed through field 'sheetService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sheetService': Unsatisfied dependency expressed through field 'sheetMapper'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sheetMapper' defined in file [C:\Users\Administrator\Desktop\orService\target\classes\com\manji\orService\mapper\SheetMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sqlSessionFactory' defined in class path resource [org/mybatis/spring/boot/autoconfigure/MybatisAutoConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.apache.ibatis.session.SqlSessionFactory]: Factory method 'sqlSessionFactory' threw exception; nested exception is org.springframework.core.NestedIOException: Failed to parse mapping resource: 'file [C:\Users\Administrator\Desktop\orService\target\classes\MapperXml\SheetMapper.xml]'; nested exception is org.apache.ibatis.builder.BuilderException: Error creating document instance.  Cause: org.xml.sax.SAXParseException; lineNumber: 77; columnNumber: 79; 元素内容必须由格式正确的字符数据或标记组成。
2017-09-19 09:34:59.565 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$faa7197c - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 16:20:43.676 [http-nio-8080-exec-4] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:27:24.522 [http-nio-8080-exec-6] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:27:34.835 [http-nio-8080-exec-8] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3A%222%22%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3A%22%22%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:28:55.421 [http-nio-8080-exec-10] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:29:11.085 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3A%222%22%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3A%22%22%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:29:46.904 [http-nio-8080-exec-4] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:29:49.811 [http-nio-8080-exec-5] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3A%222%22%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3A%22%22%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:30:04.384 [http-nio-8080-exec-7] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:30:06.770 [http-nio-8080-exec-8] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3A%222%22%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3A%22%22%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:31:24.538 [http-nio-8080-exec-10] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:32:06.411 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:32:33.916 [http-nio-8080-exec-4] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:33:21.152 [http-nio-8080-exec-6] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:37:31.864 [http-nio-8080-exec-8] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:39:48.123 [http-nio-8080-exec-10] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:41:55.519 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:53:01.416 [http-nio-8080-exec-4] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:53:33.349 [http-nio-8080-exec-6] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 16:54:59.583 [http-nio-8080-exec-8] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 17:01:29.931 [http-nio-8080-exec-10] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 17:03:20.308 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
2017-09-19 17:03:32.288 [http-nio-8080-exec-4] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$56407f63 - 请求开始, 各个参数, url: http://192.168.0.88:8080/sheet/selectSheet, method: GET, uri: /sheet/selectSheet, params: jsonToString=%7B%22endTime%22%3A%22%22%2C%22orPlate%22%3A%22alshet%22%2C%22orPriority%22%3Anull%2C%22orSheetTypeId%22%3Anull%2C%22pageNum%22%3A1%2C%22pageSize%22%3A10%2C%22search%22%3Anull%2C%22startTime%22%3A%22%22%7D&user=%7B%22email%22%3A%222231646722%40qq.com%22%2C%22job%22%3A%2200004%22%2C%22menu%22%3Anull%2C%22mobile%22%3A%2215111852620%22%2C%22realName%22%3A%22%E6%9B%B9%E8%8D%A3%E5%8D%8E%22%2C%22role%22%3A%5B%7B%22deptName%22%3A%22%E8%B4%A2%E5%8A%A1%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83%22%2C%22roleName%22%3A%22%E8%B5%84%E9%87%91%E5%89%AF%E7%BB%8F%E7%90%86%22%7D%5D%2C%22sessionId%22%3Anull%2C%22userId%22%3A%221%22%2C%22userName%22%3A%22caorh%22%7D
